Timestamp;Hora;Minutos;Segundos;Entrada_D_22;Entrada_D_23;Entrada_D_24;Entrada_D_25;Entrada_D_26;Entrada_D_27;Entrada_D_28;Entrada_D_29;Entrada_D_30;Entrada_D_31;Entrada_D_32;Entrada_D_33;Entrada_D_34;Entrada_D_35;Entrada_D_36;Entrada_D_37;Entrada_A_1;Entrada_A_2;Entrada_A_3;Entrada_A_4;Entrada_A_5;Entrada_A_6;Entrada_A_7;Entrada_A_8;Entrada_A_9;Entrada_A_10;Entrada_A_11;Entrada_A_12
1638776350;7;39;10;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0.55;0.55;0.55;0.57;0.56;0.56;0.59;0.54;0.00;0.00;0.00;0.00
1638776350;7;39;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.55;0.55;0.55;0.57;0.58;0.56;0.59;0.53;0.00;0.00;0.00;0.00
1638776351;7;39;11;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.55;0.55;0.55;0.58;0.54;0.59;0.57;0.54;0.00;0.00;0.00;0.00
1638776352;7;39;12;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.55;0.55;0.54;0.57;0.56;0.58;0.57;0.56;0.00;0.00;0.00;0.00
1638776352;7;39;12;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.54;0.55;0.55;0.57;0.53;0.60;0.52;0.60;0.00;0.00;0.00;0.00
1638776353;7;39;13;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.54;0.55;0.55;0.57;0.54;0.61;0.52;0.60;0.00;0.00;0.00;0.00
1638776354;7;39;14;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.54;0.55;0.56;0.57;0.54;0.61;0.51;0.61;0.00;0.00;0.00;0.00
1638776354;7;39;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.55;0.55;0.56;0.57;0.54;0.60;0.52;0.61;0.00;0.00;0.00;0.00
1638776355;7;39;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.55;0.55;0.57;0.56;0.56;0.59;0.53;0.60;0.00;0.00;0.00;0.00
1638776356;7;39;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.55;0.54;0.60;0.52;0.63;0.51;0.63;0.52;0.00;0.00;0.00;0.00
